hah	A
xỉu	僄
cẩn	僅
tiên	僊
tượng	像
liêu	僚
huệ	僡
nghẹo	僥
tăng	僧
tiếm	僭
đồng	僮
tịch	僻
nghi	儀
nông	儂
kiệm	儉
đam	儋
nho	儒
lỗi	儡
ưu	優
trữ	儲
sàm	儳
lệ	儷
na	儺
nghiễm	儼
ngột	兀
doãn	允
nguyên	元
sung	充
triệu	兆
hung	兇
khắc	克
đoái	兌
miễn	免
thỏ	兎
thố	兔
tỉ	兕
đâu	兜
cạnh	兢
toàn	全
tael	兩
công	公
add	共
military troops	兵
kì	其
cụ	具
điển	典
tư	兹
kí	冀
nhiễm	冄
nội	内
mậu	冇
nhiễm	冉
book	冊
sách	册
tái	再
mạo	冒
miện	冕
đem	冘
quan	冠
trũng	冡
grand grave	冢
oan	冤
minh	冥
đông	冬
ice	冰
trong	冲
huống	况
dã	冶
cold	冷
thê	凄
chuẩn	准
tĩnh	凈
lăng	凌
đống	凍
lẫm	凛
lẫm	凜
ngưng	凝
kỉ	几
commonplace	凣
xứ	処
chỉ	凪
bằng	凭
hoàng	凰
khải	凱
receptacle	凵
đột	凸
ao	凹
xuất	出
Chinese sabre	刂
nhẫn	刃
role	分
thiết	切
ngãi	刈
khan	刊
thổn	刌
hình	刑
hoa	划
initial stage	初
san	删
biệt	別
kiếp	刧
profit	利
biệt	别
scrape	刮
đáo	到
chế	制
xoát	刷
khoán	券
sát	刹
prick	刺
khắc	刻
law	則
tước	削
lạp	剌
sát	剎
dịch	剔
phẩu	剖
cương	剛
bác	剝
surplus	剩
tiện	剪
qua	剮
phó	副
sáng	創
tiễu	剿
vạch	劃
chép	劄
kịch	劇
Lưu	劉
quế	劌
kiếm	劍
tễ	劑
physical force	力
công	功
gia	加
liệt	劣
trợ	助
nỗ	努
impeach	劾
kính	勁
bột	勃
dũng	勇
miễn	勉
lặc	勒
động	動
case	務
huân	勛
win	勝
lao	勞
mộ	募
thế	勢
tích	勣
cần	勤
huân	勳
lệ	勵
khuyến	勸
chước	勺
câu	勾
vật	勿
bao	包
hung	匈
bào	匏
chuỷ	匕
transform	化
thi	匙
hạp	匣
phỉ	匪
hối	匯
hệ	匸
thất	匹
biển	匾
khu	區
tạp	卅
thăng	升
ngọ	午
tạp	卉
half	半
thế	卋
tấp	卌
swastika	卐
te	卑
tốt	卒
tall	卓
hiệp	協
bác	博
ăn bốc	卜
biện	卞
Chiêm	占
tạp	卡
wine vessel	卣
tiết	卩
horizontal	卬
mão	卯
ấn	印
nguy	危
tức	即
khước	却
quyển	卷
discharge	卸
khước	卻
xưởng	厂
hậu	厚
sảnh	厛
nguyên	原
cột	厥
hạ	厦
ướm	厭
lẹ	厲
khư	厶
leave	去
tam	叁
tham	參
tam	叄
again	又
hữu	友
phản	反
thu	収
thúc	叔
thụ	受
tự	叙
giả	叚
tẩu	叟
tòng	叢
mouth	口
ancient	古
sentence	句
lánh	另
thao	叨
chỉ	只
bá	叭
khả	可
sất	叱
sử	史
hữu	右
phả	叵
ti	司
xin	吀
scare	吁
khật	吃
tuyên	吅
unite	合
cát	吉
condole	吊
đồng	同
famous	名
lại	吏
thổ	吐
hướng	向
tra	吒
thôn	吞
recite	吟
phệ	吠
bĩ	否
and	吧
duyện	吮
ngô	吳
sảo	吵
nột	吶
cộp	吸
xuy	吹
vẫn	吻
hống	吼
personal name	吽
cáo	吿
nhá	呀
lã	呂
ách	呃
trình	呈
cáo	告
xích	呎
răn	呡
ni	呢
u	呦
chu	周
huếnh	呪
chiếp	呫
smell	味
resentment	咁
peace	和
tư	咨
I	咱
eat	咹
person	員
recite	哦
Chinese	唐
grotesque	啉
ah	啊
speech	喃
kind	善
I	喒
dụ	喻
hoarse	嗄
complain	嘆
hello	嘲
enclose	囗
return	回
nation	囯
nation	囻
nation	國
group	團
earth	土
in	在
earth	地
phường	坊
heap	坨
place	坭
kì	埼
requite	報
place	場
raised path	塍
thì	塒
road	塘
region	塳
wall	墻
one	壹
summer	夏
quỳ	夔
外國	外
cú	夠
loã	夥
big	大
sky	天
he	奴
burn	奵
like	好
like	如
thỏa	妥
thiếp	妾
thuỷ	始
old lady	姥
beautiful	姸
uyển	婉
mother	媄
beauty	媛
thoã	媠
dựng	媵
sầy	媸
tẩu	嫂
beautiful	嫣
thiền	嬋
earthly branch	子
character	字
phu	孚
filial piety	孝
strong	孟
sàn	孱
lộn	孵
learn	學
nghiệt	孽
twin	孿
superfluous	宂
safe	安
complete (used only as part of a  compounds)	完
official	官
visitor	客
palace	宮
home	家
falsely accuse	寃
wealth	富
coldness	寒
thực	寔
安寧	寧
tả	寫
lều	寮
khắc	尅
respect	尊
direct	導
small	小
lack	少
lèo	尞
doãn	尹
office	局
house	屋
footwear	履
straw sandal	屨
truân	屯
mountain	山
bản	岅
trĩ	峙
động	峝
tiếu	峭
island	島
lôn	崙
tung	崧
tể	崽
kê	嵇
nổng	嶩
dữ	嶼
nguy	巍
nham 碞	巖
placename	巴
hạng	巷
breast	布
duy	帷
frequent	常
painting	幀
quắc	幗
xí	幟
rèm	幨
mùng	幪
đáo	幬
平安	平
sảnh	庁
shop	店
street	庯
dong	庸
village	廊
tê	廝
bách	廹
hồi	廻
niệm	廿
dặc	弋
nhất	弌
tam	弎
bow	弓
condole	弔
nhẹ	弭
surname	張
comparative	強
彊	强
loan	彎
ký	彑
image	形
surname	彭
service	役
bỉ	彼
kính	徑
get	得
thang	徜
micro-	微
virtue	德
khiếu	徼
busy	忙
ngượng	忸
khảng	忼
bừng	怦
làu	恅
khoé	恗
huệ	恚
thư	恣
ân	恩
tiếu	悄
ấp	悒
ngố	悞
bây giờ	悲
sad	悶
ability	情
đoạ	惰
tênh	惺
phục	愎
ngạc	愕
stupid	愚
khép	愜
sensitive	感
sảng	愴
hoảng	慌
nấc	慝
tiệp	慴
equal	憑
vỗ	憪
nhàm	憮
lùng	憹
lầm	懍
ướm	懨
sám	懺
good	懿
tuất	戌
thú	戍
ngã	我
giát	戞
halberd	戟
cái	戤
biển	扁
entry gate	扉
hand	手
ability	才
nẫy	扔
nhấp	扖
giăng	扛
đỡ	扡
phẫn	扮
gắp	扱
phù	扶
vặn	抆
pick up	抇
die	折
throw	抛
ảo	抝
vả	抯
kiềm	拑
bạt	拔
hand	拪
doạ	挫
tróc	捉
vun	捹
dọn	掄
trao	掉
kháp	掐
nát	揑
dẹp	揲
sai	搓
đẽo	搗
carry	搬
suất	摔
lùa	摟
chuôi	摧
mò	摸
lau	撈
dầm	撏
sênh	撐
tê	撕
ráp	撘
xoã	撦
vá	播
khấm	撳
cầm	擒
đâm	擔
tê	擠
quặc	擭
gác	擱
quẳng	擴
bẫy	擺
sú	擻
khoác	攉
lách	攊
rờ	攎
loang	攣
emit	放
sensitive	敏
help	救
teaching	教
tremble	敦
respect	敬
enemy	敵
number	數
學	斈
unit of measurement	斛
chước	斫
new	新
way	方
be	於
cờ	旂
nể	旎
clan	族
early	早
week	旬
child	昆
bright	明
tích	昔
lình	昤
time	時
ngộ	晤
intimate	暱
ferocious	暴
tôi	晬
vầng	暈
bright sunlight	暐
warm	暖
happy	暢
write	曰
bent	曲
watch	更
great-	曾
meet	會
have	有
clothing	服
I	朕
calm	朗
tree	木
basis	本
soa	杈
chước	杓
surname	杜
mang	杧
diễu	杪
kiểu	杲
chẳm	枕
nôi	枘
khô	枯
bạn	柈
loofah	柉
háp	柙
tạc	柞
khé	栔
table	桌
handle	桿
giậu	梄
rattan	梅
vối	梖
pear	梨
lê	梸
cờ	棊
sồng	棕
brother	棣
phân	棼
ghế	椅
linden	椴
luyện	楝
roi	榑
betel nut	榔
glory	榮
chõng	榻
lance	槊
dùi	槌
khem	槏
hòe	槐
apricot blossom	槑
tuy	槜
plant	槞
khang	槺
Chinese hibiscus	槿
building	樓
đàn	樿
nạo	橈
lựu	橊
lèo	橑
thoả	橢
cao	橰
gán	檊
diêm	檐
cotton tree	檰
giám	檻
jack fruit	櫗
zelkova	櫸
bá	欛
inferior	次
sing	欱
song	歌
xoét	歠
chief	正
𠫾步	步
surname	武
ngạt	歹
tò	殂
điển	殄
don't	毋
mother	母
xồm	毯
tuyệt	毳
li	氂
nhung	氄
nitrogen	氮
giầm	氳
thộn	氽
stream	汊
cạn	汗
river	江
wash	汰
tắm	沁
mượt	沫
river	河
oil	油
chăm	沾
canal	泃
wash clothes	泆
dirty	泍
hói	洄
ocean	洋
rởi	洒
secrete	洩
continent	洲
hoạt	活
sea	海
thế	涕
sap	液
lấm	淋
洫	淢
yêm	淹
water	渃
cừ	渠
port	港
lake	湖
tiên	湜
rụng	湧
dose	湯
dung	溶
river	滝
sệ	滯
hở	滸
củn	滾
float	漂
trướng	漲
bòm	澟
relieve	濟
tả	瀉
river	瀧
full	瀰
bay	灣
fry	炟
quýnh	炯
phanh	烹
fire	焒
without	無
thổi	煺
phiến	煽
thui	熣
heat	熱
xé	熾
muộn	燜
father	父
ta	爹
winnowing basket	牀
copy	版
lao	牢
muntjac	牤
item	物
sinh	牲
rhinoceros	犀
cơ	犄
sacrifice	犧
deer	狔
ngân	狺
wolf	狼
nghê	猊
vuốt	猝
chương	獐
diệu	玅
lô	玈
gem	玉
king	王
tortoise shell	玳
mân	珉
quân	珺
imperial jade	瑁
não	瑙
cẩn	瑾
melon	瓜
give birth	生
soải	甩
man	男
lamp	畑
stay	留
livestock	畜
dissimilar	異
draw	畵
imperial domain	畿
điệp	疊
sất	疋
giang	疘
tired	疲
ngấn	痕
tê	痹
paralysis	痺
hầu	瘊
dũ	癒
si	癡
emperor	皇
vu	盂
bôi	盃
chung	盅
pot	盆
benefit	益
hạp	盒
prosperous	盛
trản	盞
table	盤
am	盦
chu	盩
item	目
chân	真
quyến	眷
longan	眼
mục	睦
khoé	睽
miết	瞥
chiêm	瞻
arrow	矢
stone	石
curved	矼
study	研
pebble	硅
động	硐
điêu	碉
obstruct	碍
tôi	碎
bowl	碗
thạc	碩
bánh	碰
trách	磔
commune	社
kì	祁
tố	祖
hễ	禊
happy	福
y	禕
ritual	禮
private	私
bỉnh	秉
to	租
xứng	秤
ương	秧
trật	秩
di	移
sảo	稍
species	種
pig	稳
search	究
sky	穹
trất	窒
diếu	窖
hollow	窪
lung	窿
dissolute	竜
cánh	竟
bamboo	竹
trúc	竺
schoolbag	笈
bamboo string	笿
zither	箏
bạc	箔
mathematics	算
chủy	箠
arrow	箭
đốc	篤
miệt	篾
lều	簝
bộ	簿
tràn	籣
lạp	粒
sán	粲
pure	精
cake	糕
sugar	糖
tao khang	糟
salary	糧
contract	約
red	紅
clean	素
tổ	組
nhứ	絮
統一	統
đề	綈
classic works	經
green	綠
cơ	綦
web	網
stretch	綳
thải	綵
miên	綿
line	線
đề	緹
rây	縒
cảo	縞
huyện	縣
silk	縷
many	繁
thiện	繕
gịt	繹
lỗi	纇
tiêm	纖
lôi	罍
cương	罡
chau	罩
mĩ	美
dạng	羕
old	老
-er	者
and	而
hoả	耍
lỗi	耒
harrow	耙
職	聀
thánh	聖
tone	聲
聀	職
flesh	肉
khuỷu	肘
liver	肝
embryo	胚
thần	脣
escape	脱
臕	脿
armpit	腋
kidney	腎
spoil	腐
ám	腤
brain	腦
du	腴
gland	腺
thiện	膳
nao	臑
tang	臧
nghiệt	臬
cối	臼
maternal uncle	舅
idle	舒
城舖	舖
boat	艚
ghé	艤
cấn	艮
color	色
khiếm	芡
banana	芭
flower	花
uyển	苑
bao	苞
older brother	英
trắc 側 hạ 下 thiết	苲
mậu	茂
mương	茫
mattress	茵
tea	茶
suyễn	荈
grass	草
lị	莉
mảng	莽
nấm	菍
trư	菹
vi	葦
flower	葻
artemisia	蒿
mạn	蔓
ginseng	蔘
leafy greens	蔞
sơ	蔬
protect	蔽
tuberose	蕙
ginger	薑
firewood	薪
grape	薷
tạ	藉
algae	藻
leaf	蘿
hô	虍
Kangxi	虫
cù	虯
tửa	虸
giới	蚧
chỉ	蚳
khúc	蛐
spider	蛛
honey	蜂
spider	蜘
honey	蜜
spider	蝒
chương	蟑
cicada	蟡
xuẩn	蠢
dragon	蠬
nục	衄
mạch	衇
miệt	衊
biểu	表
cà	袈
cổn	袞
abundant	裕
pants	裙
sa	裟
thị thực	視
đủ	覩
tất	觱
plot	計
di	詒
trớ	詛
experiment	試
thù	詧
poetry	詩
cật	詰
lụy	誄
language	語
recite	誦
flatter	諂
essay	論
xầm	諶
mậu	謬
ngẩn	謹
hô	謼
ky	譏
tiếu	譙
translate	譯
độc	讀
cừu	讐
slander	讒
lan	讕
nghiện	讞
độc	讟
bean	豆
spotted big cat	豹
deer	貅
cat	貓
betray	負
sảnh	貹
sell	賣
chuế	贅
forgive	赦
giả	赭
sấn	趁
Việt Nam	越
bát	趴
miss	跌
đà	跎
kneel down	跪
cứ	踞
củ	踽
tha	蹉
foot	蹎
tung	蹤
xúc	蹴
trục	躅
dược	躍
torso	身
veranda	軒
chẵn	軫
chỉ	軹
wheel	軿
chuyết	輟
lén	輦
tấu	輳
lose	輸
vếch	辟
spicy	辣
từ	辤
biện pháp	辦
side	边
dĩ	迤
điệt	迭
mê	迷
di	迻
giá	這
go through	通
waiting	逮
pass	過
code of conduct	道
theo	遶
invite	邀
lệ	邐
邯鄲	邯
quận	郡
part	部
sarcophagus	郭
đặng	鄧
chậm	酖
hú	酗
salt	酶
acid	酸
醫學	醫
sauce	醬
biện	釆
wild	野
gold	金
bowl	釟
hook	鈎
key	鈙
chain	鈬
檷	鈮
bạt	鈸
silver	鉑
lạc	鉻
silver	銀
gun	銃
aluminium	銋
money	錢
luyện	鍊
sickle	鎌
sạn	鏟
vàng	鐄
sickle	鐮
zinc	鐱
trạc	鐲
drill	鑧
head	長
subject	門
open	開
khổn	閫
lữ	閭
quan	關
bank	阡
slopingly	阥
slope	阧
surname	阮
finish	陀
slanted	陂
ugly	陋
descend	降
Shaanxi	陝
battle	陣
eliminate	除
lunar calendar	陰
chằn	陳
陽曆	陽
隆新	隆
tùy	隋
dry moat	隍
tunnel	隧
dangerous	險
seclude	隱
chuy	隹
nhạn	雁
set	集
li	離
snow	雪
lightning	電
need	需
nghê	霓
spirit	靈
not	非
dress up	面
ngẩn	靳
yên	鞍
靰鞡	鞡
Korea	韓
sound	音
participate	預
pha	頗
poor	頹
khỏa	顆
cheek	顋
trying	顧
food	食
rice	飯
breed	飼
sủi cảo	餃
pastry	餅
hunger	餓
shop	館
饕餮	餮
famine	饉
want	饞
fragrance	香
horse	馭
castrate	騸
steed	驃
high	高
make	鬠
hống	鬨
generic ugly	鬼
fish	魚
鯛	鮉
blowfish	鯺
gill	鰓
chũm	鴆
oriole	鶯
seagull	鷗
yến	鷰
duật	鷸
ta	鹺
salt	鹽
mê	麋
given name	麗
musk deer 貅麝	麝
barley	麥
miến	麪
wheat	麵
ma	麽
hoàng	黃
school	黌
Lê	黎
dot	點
party	黨
big sea turtle	黿
abstain	齋
rage	齌
teeth	齒
thư	齟
linh	齡
trở ngữ	齬
dragon	龍
big	龎
big	龐
Saigonese	~
inverted breve	^
macron	`
writing system	𡨸
字	𡦂
that	í
buzzard	ó
luột	䋖
𡮆	𨳒
gate	𨶛
môn	𨷈
at	ở
㗀	ù
dessert soup	𤯊
pig	㺧
𦠲	ú
'	´
bới	㗑
language	tiếng Ý
small	𡮈
伊	ì
Italy	Ý
sidewalk	𡏘
crevice	𠴜
horrifying	𡃊
loll	𠻗
clear	𠠚
clear	𠝓
cover	𩂏
stoneware jar	𡍘
dessert soup	𥻹
IPA	䊼
phial	𡐮
phial	䃣
garland chrysanthemum	tần ô
O	Ơ
uh	ờ
belch	ợ
Ư	ư
U	Ư
yeah	ừ
stagnant	ứ
Asia	Á
use	ạ
妸	ả
étui	ẹ
poop	ị
mound	ụ
饐	ế
sullen	ủ
Southeast Asia	Đông Nam Á
Saigonese	̉
branch dipped	𣛧
do not	𣫲
iron	𨫊
leprosy	𪽵
̩	̣
silk	𫃵
pay attention	để ý
trời	𡗶
three	𠀧
property	𧵑
that	𧘇
seven	𦉱
within	𥪝
with	𠇍
voice	㗂
return	𧗱
go out	𠚢
many	𡗉
word	𠳒
keep	𡨹
child	𡥵
some five	𠄼
year	𢆥
two	𠄩
four	𦊚
six	𦒹
eight	𠔭
nine	𠃩
hundred	𤾓
face	𩈘
drink	㕵
frost	𪜚
nipper	𫋙
rice	𬖾
want	㦖
tree	𣘃
bird	𪀄
mountain	𡶀
white	𤽸
black	𪓇
red	𣠶
tooth	𪘵
month	𣎃
day	𣈜
hour	𣇞
sea	𣷷
dog	㹥
elephant	㺔
hoàng	㾮
net	䋥
hand	𢬣
rock	𥒥
cloud	𩄲
one	𠬠
thousand	𠦳
torso	𨉟
grass	𦹵
age	𣦮
age	𢆫
wheel	𨋣
and	𡝕
thread	𥿗
trêu	𠺕
quiet	êm ả
calm	im ả
prostitute	𡚦
rat	𤝞
sleep	𥄬
rain	𩅹
wind	𩙌
wind	𩙋
mouth	𠰘
fish	𩵜
hear	𦖑
drunken drawl	𠀪
drunken drawl	𠀫
bloke	𠀲
cheap	𠀳
drop down	𠀴
bloke	𠁂
egg	𠨡
should	𢧚
comprise	𠁟
comprise	𠁝
I	𠋺
young	𥘷
scold	𠯽
love romantic	𢞅
hunt	𤜬
plough	𦓿
group	𠈋
pupil	𥇹
arch	𡴉
short	𥐆
certainly	𢖮
lime	𣔥
moment	𣅶
liquor	𨢇
be	𪜀
𧘇	𠂎
whole lot	𧜗
fix	𡪇
mask	𩈩
beautiful	𢢲
字	𫳘
lễ	𡅏
sad	𢞂
tortoise	𪛇
tortoise	𪛅
rush	ồ
rely	ỷ
raft	𦨭
middle	𪜉
chili pepper	𣎷
sweltering	oi ả
over	𫠢
comprise	𫡁
comprise	𫡂
under	𠁑
ashamed	𢠄
collapse	𬔗
pig	𤞼
gặp	﨤
sorrowful	𤷴
year	𫷜
year	𫧣
five	𫡵
roast	𤓢
roast	𪹷
roast	𣡤
lad	𪟡
glad	𪢣
trap	𠙣
then	𠂫
clear	𬺚
vagina	𦟹
pilgrimage	𥙒
lấp	𤇥
choose	𫾗
chopstick	𥮊
drum	𪔠
sinh	𥑥
pluck	𢭮
Muong people	𡙧
dirty	𣱿
small	𡭜
small	𡮉
𫔸	𨷶
𨷶	𫔸
𨷶	𨵣
cửa	𫔳
earth	𡐙
dạy học	𠰺
go out	𫥨
big	𡘯
hungry	𩛜
hungry	𩟡
medicine	𧆄
side	𠩕
inh	𠸄
enclose	𢮿
rice vermicelli	𥻸
moon	𢁋
mango	𣒱
two	𠄧
new	𪦲
new	𡤔
new	𬔫
happy	𢜠
wood	𣙺
canine	𤞺
cold	𠗹
painting	𢂰
gong	𨨨
whole lot	𣜋
angry	𢠣
split	𠠉
hard	𠠊
forest	𡹃
forest	𡼹
basket	𥴗
tray	𣛣
part	𣾺
tray	𥳐
open	𩦓
go	𪠞
intestine	𢚸
rabbit	𤟛
near	𧵆
enter	𠓺
bowl	𥗹
seat	𥵕
yeast	𥾃
pull	𡀂
bear	𤠰
voice	𪱐
within	𥪞
spurt	𣻆
female	𡛔
hòi	𤞑

